portfolio,rank,date,month_since_bottom,recovery_progress_pct,drawdown,maximum_drawdown,recovered
benchmark,14,2017-03-31,0,0.0,-0.01836046581108519,-0.01836046581108519,True
benchmark,14,2017-04-30,1,100.0,0.0,-0.01836046581108519,True
benchmark,15,2026-03-31,0,0.0,-0.015483721436609477,-0.015483721436609477,True
benchmark,15,2026-04-30,1,100.0,0.0,-0.015483721436609477,True
benchmark,16,2024-04-30,0,0.0,-0.014966154322470726,-0.014966154322470726,True
benchmark,16,2024-05-31,1,100.0,0.0,-0.014966154322470726,True
benchmark,17,2017-11-30,0,0.0,-0.00868613826544029,-0.00868613826544029,True
benchmark,17,2017-12-31,1,19.014610243483762,-0.0070345029290567185,-0.00868613826544029,True
benchmark,17,2018-01-31,2,100.0,0.0,-0.00868613826544029,True
benchmark,18,2023-05-31,0,0.0,-0.008622364252217185,-0.008622364252217185,True
benchmark,18,2023-06-30,1,100.0,0.0,-0.008622364252217185,True
benchmark,19,2019-10-31,0,0.0,-0.007159630080626145,-0.007159630080626145,True
benchmark,19,2019-11-30,1,100.0,0.0,-0.007159630080626145,True
benchmark,20,2024-08-31,0,0.0,-0.004621002027219601,-0.004621002027219601,True
benchmark,20,2024-09-30,1,100.0,0.0,-0.004621002027219601,True
benchmark,21,2017-07-31,0,0.0,-0.0038524283657561664,-0.0038524283657561664,True
benchmark,21,2017-08-31,1,100.0,0.0,-0.0038524283657561664,True
benchmark,22,2023-07-31,0,0.0,-0.002500920282190844,-0.002500920282190844,True
benchmark,22,2023-08-31,1,100.0,0.0,-0.002500920282190844,True
