point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_AIA_pct,weight_GLD_pct,weight_XLE_pct,weight_144600_pct,weight_SCHD_pct
26,1.328854374593971,18.386102089541424,10.94673698565761,10.229179058392535,21.41792745638825,3.620278616978297,45.514088925321616,0.4141382301961958,0.0,18.804387712723106
27,1.3305184544001156,18.445337995805097,10.97756681907105,10.597505925485844,21.78599514916567,3.375475777138421,45.65425663215478,0.6664916522879152,0.0,17.920274863767368
28,1.3320751672444167,18.504573902068767,11.00920691569145,10.965832792579134,22.154062841943066,3.1306729372985593,45.79442433898793,0.9188450743796142,0.0,17.036162014811687
29,1.3335259346444526,18.563809808332433,11.041650310038834,11.334159659672439,22.52213053472044,2.885870097458705,45.93459204582109,1.1711984964713165,0.0,16.15204916585601
30,1.334872222912281,18.623045714596103,11.074889942441246,11.702486526765691,22.890198227497844,2.6410672576188534,46.07475975265423,1.4235519185630046,0.0,15.267936316900377
31,1.3361155400610885,18.68228162085977,11.108918665492395,12.070813393858982,23.258265920275225,2.3962644177789914,46.214927459487384,1.6759053406546998,0.0,14.383823467944708
32,1.3372574327314355,18.741517527123438,11.14372925044385,12.43914026095225,23.62633361305267,2.1514615779391377,46.35509516632055,1.9282587627464154,0.0,13.499710618988983
33,1.338299483145065,18.800753433387104,11.179314393521803,12.807467128045541,23.994401305830053,1.9066587380992688,46.495262873153706,2.1806121848381053,0.0,12.615597770033338
34,1.339243306093778,18.859989339650777,11.215666722158925,13.175793995138827,24.362468998607476,1.6618558982594067,46.63543057998686,2.4329656069298213,0.0,11.731484921077609
35,1.3400905459704024,18.919225245914443,11.252778801132452,13.544120862232155,24.73053669138486,1.4170530584195409,46.77559828682002,2.6853190290215374,0.0,10.847372072121878
36,1.3408428738483888,18.97846115217811,11.2906431386003,13.912447729325383,25.09860438416226,1.1722502185796984,46.91576599365317,2.9376724511132117,0.0,9.963259223166284
37,1.3415019846160818,19.037697058441776,11.329252192027576,14.280774596418711,25.466672076939663,0.9274473787398168,47.05593370048633,3.1900258732049305,0.0,9.079146374210547
38,1.3420695941711978,19.09693296470544,11.368598373996447,14.649101463512002,25.834739769717025,0.6826445388999649,47.19610140731947,3.4423792952966097,0.0,8.195033525254932
39,1.3425474366805727,19.15616887096911,11.408674057893018,15.017428330605359,26.202807462494388,0.4378416990600952,47.33626911415263,3.694732717388332,0.0,7.310920676299191
40,1.3429372619097164,19.215404777232784,11.449471583465371,15.385755197698616,26.57087515527179,0.19303885922024436,47.47643682098579,3.9470861394800325,0.0,6.426807827343526
